,rank,city,state,population,2000-2013 growth
0,7,San Antonio,Texas,1409019,21.0%
1,8,San Diego,California,1355896,10.5%
3,11,Austin,Texas,885400,31.7%
4,15,Columbus,Ohio,822553,14.8%
6,19,El Paso,Texas,674433,19.4%
7,20,Memphis,Tennessee,653450,-5.3%
8,27,Oklahoma City,Oklahoma,610613,20.2%
9,28,Louisville/Jefferson County,Kentucky,609893,10.0%
10,29,Portland,Oregon,609456,15.0%
11,30,Las Vegas,Nevada,603488,24.5%
12,31,Milwaukee,Wisconsin,599164,0.3%
13,32,Albuquerque,New Mexico,556495,23.5%
14,33,Tucson,Arizona,526116,7.5%
15,34,Fresno,California,509924,18.3%
16,35,Sacramento,California,479686,17.2%
19,39,Virginia Beach,Virginia,448479,5.1%
20,41,Colorado Springs,Colorado,439886,21.4%
21,42,Omaha,Nebraska,434353,5.9%
22,43,Raleigh,North Carolina,431746,48.7%
23,47,Tulsa,Oklahoma,398121,1.3%
24,49,Wichita,Kansas,386552,9.7%
